Generation	Cage	S	his	kdr	skdr
2	1	0.25	0.25	0.25	0.25
2	2	0.25	0.25	0.25	0.25
2	3	0.25	0.25	0.25	0.25
2	4	0.25	0.25	0.25	0.25
5	1	0.375	0.270833333	0.145833333	0.208333333
5	2	0.32	0.18	0.02	0.48
5	3	0.24	0.32	0.24	0.2
5	4	0.270833333	0.166666667	0.25	0.3125
10	1	0.166666667	0.541666667	0.125	0.166666667
10	2	0.270833333	0.395833333	0.020833333	0.3125
10	3	0.229166667	0.25	0.291666667	0.229166667
10	4	0.458333333	0.145833333	0.270833333	0.125
15	1	0.229166667	0.3125	0.208333333	0.25
15	2	0.375	0.5	0.041666667	0.083333333
15	3	0.270833333	0.270833333	0.333333333	0.125
15	4	0.479166667	0.166666667	0.25	0.104166667
25	1	0.208333333	0.416666667	0.333333333	0.041666667
25	2	0.479166667	0.395833333	0.041666667	0.083333333
25	3	0.354166667	0.145833333	0.5	0
25	4	0.333333333	0.416666667	0.1875	0.0625
